Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,1,O+,1,Ground,1,O-,1,600,1.8219205040896E-9,35600,35000,0.5,1.25708265617804E-12,0,"qQ1,1(1)",v=0  1  1  0 - v=0  1  1  1
AsymmetricTop,Ground,6,E+,2,Ground,6,E-,1,759.758011497557,2.08681110788366E-9,322077.794793092,321318.036781594,0.409797349764594,4.82739672911742E-13,0,"qQ2,5(6)",v=0  6  2  4 - v=0  6  2  5
AsymmetricTop,Ground,13,O+,2,Ground,13,O-,2,972.622407787479,2.40144365329758E-9,1189443.89837554,1188471.27596775,0.436296886252057,5.19173474756514E-13,0,"qQ3,11(13)",v=0 13  3 10 - v=0 13  3 11
AsymmetricTop,Ground,21,E+,3,Ground,21,E-,2,1204.25284815207,1.8175785754349E-9,2851383.13137022,2850178.87852207,0.47821976731782,6.78224459869796E-13,0,"qQ4,18(21)",v=0 21  4 17 - v=0 21  4 18
AsymmetricTop,Ground,7,E+,2,Ground,7,E-,1,1360.12338436558,5.55488457404736E-9,396793.198341299,395433.074956934,0.352748566558797,2.06618999663978E-12,0,"qQ2,6(7)",v=0  7  2  5 - v=0  7  2  6
AsymmetricTop,Ground,14,O+,2,Ground,14,O-,2,1490.51532636653,4.85375558921171E-9,1338765.78509424,1337275.26976787,0.403340871752776,1.60821795561227E-12,0,"qQ3,12(14)",v=0 14  3 11 - v=0 14  3 12
AsymmetricTop,Ground,22,E+,3,Ground,22,E-,2,1719.61882978259,3.13882624327286E-9,3086219.3423441,3084499.72351431,0.453278833811431,1.78859015435633E-12,0,"qQ4,19(22)",v=0 22  4 18 - v=0 22  4 19
AsymmetricTop,Ground,2,O+,1,Ground,2,O-,1,1800,9.01738795243849E-9,57400,55600,0.277777777777778,1.13137439056023E-11,0,"qQ1,2(2)",v=0  2  1  1 - v=0  2  1  2
AsymmetricTop,Ground,15,O+,2,Ground,15,O-,2,2212.32788583334,9.18368761989184E-9,1498940.91240721,1496728.58452138,0.374020297848585,4.56187406815122E-12,0,"qQ3,13(15)",v=0 15  3 12 - v=0 15  3 13
AsymmetricTop,Ground,8,E+,2,Ground,8,E-,1,2248.85567636613,1.27523297490664E-8,482348.489794186,480099.63411782,0.308569311175548,7.20858291059944E-12,0,"qQ2,7(8)",v=0  8  2  6 - v=0  8  2  7
AsymmetricTop,Ground,31,O+,3,Ground,31,O-,3,2270.16198214144,1.54605965790761E-9,5896264.45637704,5893994.29439489,0.49341385669088,3.19965140282101E-12,0,"qQ5,27(31)",v=0 31  5 26 - v=0 31  5 27
AsymmetricTop,Ground,23,E+,3,Ground,23,E-,2,2411.22854782594,5.20271917351194E-9,3331946.08455204,3329534.85600421,0.429893184785716,4.47753682702249E-12,0,"qQ4,20(23)",v=0 23  4 19 - v=0 23  4 20
AsymmetricTop,Ground,32,O+,3,Ground,32,O-,3,3058.78174375929,2.28434341858256E-9,6238549.66042686,6235490.87868311,0.473176325034716,7.27472285092971E-12,0,"qQ5,28(32)",v=0 32  5 27 - v=0 32  5 28
AsymmetricTop,Ground,16,O+,2,Ground,16,O-,2,3191.62374189496,1.63667226570234E-8,1670017.44577419,1666825.82203229,0.347592630053678,1.19578476134762E-11,0,"qQ3,14(16)",v=0 16  3 13 - v=0 16  3 14
AsymmetricTop,Ground,24,E+,3,Ground,24,E-,2,3323.8013917096,8.29316144322831E-9,3588606.4258499,3585282.62445819,0.407809309449333,1.06715520097699E-11,0,"qQ4,21(24)",v=0 24  4 20 - v=0 24  4 21
AsymmetricTop,Ground,9,E+,2,Ground,9,E-,1,3495.11735238007,2.60328279470766E-8,578798.381160235,575303.263807855,0.273059438496623,2.14264495356648E-11,0,"qQ2,8(9)",v=0  9  2  7 - v=0  9  2  8
AsymmetricTop,Ground,3,O+,1,Ground,3,O-,1,3599.87553324275,2.48680794263904E-8,90093.1054521695,86493.2299189268,0.194471334108742,4.52565394826373E-11,0,"qQ1,3(3)",v=0  3  1  2 - v=0  3  1  3
AsymmetricTop,Ground,33,O+,3,Ground,33,O-,3,4073.28307524044,3.27824966333606E-9,6591826.4117763,6587753.12870106,0.45356406163032,1.59756649914391E-11,0,"qQ5,29(33)",v=0 33  5 28 - v=0 33  5 29
AsymmetricTop,Ground,17,O+,2,Ground,17,O-,2,4487.75945464638,2.76052882901732E-8,1852046.758319,1847558.99886435,0.323497064652646,2.91710690566954E-11,0,"qQ3,15(17)",v=0 17  3 14 - v=0 17  3 15
AsymmetricTop,Ground,25,E+,3,Ground,25,E-,2,4508.51479942445,1.27321908261681E-8,3856247.54164932,3851739.0268499,0.386815468145463,2.4271436962101E-11,0,"qQ4,22(25)",v=0 25  4 21 - v=0 25  4 22
AsymmetricTop,Ground,10,E+,2,Ground,10,E-,1,5166.82578835078,4.82410810332279E-8,686194.619898783,681027.794110433,0.243690685307996,5.58923569429397E-11,0,"qQ2,9(10)",v=0 10  2  8 - v=0 10  2  9
AsymmetricTop,Ground,34,O+,3,Ground,34,O-,3,5362.89061338734,4.57167203848742E-9,6956140.92264641,6950778.03203302,0.434472290857802,3.3913385232298E-11,0,"qQ5,30(34)",v=0 34  5 29 - v=0 34  5 30
AsymmetricTop,Ground,4,O+,1,Ground,4,O-,1,5999.12889341629,5.22274384846638E-8,133670.867670568,127671.738777152,0.150087103224875,1.2572648643034E-10,0,"qQ1,4(4)",v=0  4  1  3 - v=0  4  1  4
