Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,8,O+,2,Ground,8,O-,2,34.6619532564873,4.1344658717304E-10,59079.0274072046,59044.3654539481,0.700523605482404,5.99231014871669E-17,0,"qQ3,6(8)",v=0  8  3  5 - v=0  8  3  6
AsymmetricTop,Ground,4,E+,2,Ground,4,E-,1,52.0217975163359,1.27292250538447E-9,19649.3089044849,19597.2871069686,0.59653849924048,3.25846728226434E-16,0,"qQ2,3(4)",v=0  4  2  2 - v=0  4  2  3
AsymmetricTop,Ground,14,E+,3,Ground,14,E-,2,57.8099490446621,3.93193683196112E-10,150414.961038061,150357.151089016,0.716433477434708,1.66665982526961E-16,0,"qQ4,11(14)",v=0 14  4 10 - v=0 14  4 11
AsymmetricTop,Ground,9,O+,2,Ground,9,O-,2,68.7693520767789,1.28282457507248E-9,69054.9934746775,68986.2241226007,0.62227143461422,3.71939579440084E-16,0,"qQ3,7(9)",v=0  9  3  6 - v=0  9  3  7
AsymmetricTop,Ground,15,E+,3,Ground,15,E-,2,98.5585674409522,8.67568839897825E-10,167078.324026768,166979.765459327,0.664066428354549,7.16134031133692E-16,0,"qQ4,12(15)",v=0 15  4 11 - v=0 15  4 12
AsymmetricTop,Ground,1,O+,1,Ground,1,O-,1,100,4.79821131169736E-9,3300,3200,0.5,5.81982711193536E-15,0,"qQ1,1(1)",v=0  1  1  0 - v=0  1  1  1
AsymmetricTop,Ground,5,E+,2,Ground,5,E-,1,120.501461131051,5.17102848590679E-9,25210.040586321,25089.53912519,0.482610160899327,2.68066194298233E-15,0,"qQ2,4(5)",v=0  5  2  3 - v=0  5  2  4
AsymmetricTop,Ground,10,O+,2,Ground,10,O-,2,126.288768880098,3.39394294152067E-9,80163.584470069,80037.2957011889,0.557585326232044,1.86744389909965E-15,0,"qQ3,8(10)",v=0 10  3  7 - v=0 10  3  8
AsymmetricTop,Ground,16,E+,3,Ground,16,E-,2,161.625253781298,1.75057563585924E-9,184883.37655764,184721.751303859,0.616696468839332,2.75515803566767E-15,0,"qQ4,13(16)",v=0 16  4 12 - v=0 16  4 13
AsymmetricTop,Ground,22,O+,3,Ground,22,O-,3,169.873257437954,3.64103861594874E-10,333858.166436542,333688.293179104,0.6936298224737,2.63846672560688E-15,0,"qQ5,18(22)",v=0 22  5 17 - v=0 22  5 18
